Intent,Question,Answer
General,will I die ?,"The elderly and the unwell are more likely to die, if they contract coronavirus.The WHO also report that around 80% of people will experience a relatively mild form of the disease, which will not require specialist treatment in a hospital."
"Children, women, pets",can children be affected by coronavirus ?,All age groups can contract SARS-CoV-2.
Myths and rumours,was coronavirus found in a lab in china ?,"Despite internet rumors, there is no evidence to suggest that this is the case. In fact, a recent study demonstrates that the virus is a natural product of evolution."
Myths and rumours,was the origin of virus bat soup ?,"Although scientists are confident that the virus started in animals, there is no evidence to suggest that it came from soup of any kind."
Impact Of Corona,What is the impact of coronavirus ?,"The WHO officially changed their classification of COVID-19 from a public health emergency of international concern to a pandemic on March 11, 2020."
General,What steps are researchers taking?,"On May 1, based on the results of a clinical trial, the FDA gave emergency approval for doctors to use remdesivir, an antiviral drug, to treat severe COVID-19.Researchers are also testing whether hydroxychloroquine and chloroquine, prescription drugs that treat malaria and some inflammatory conditions, could prevent and treat COVID-19."
Myths and rumours,Hand dryers kill coronavirus,Hand dryers do not kill coronavirus. The best way to protect oneself and others from the virus is to wash the hands with soap and water or an alcohol-based hand rub.
General,is aarogya setu app helpful ?,It is as it gives real-time info about virus cases in neighbourhood.
General,will this world ever be as it was before ?,Time reduces the pain of epidemics . The world be back on track but with memory of the worst always there.  
General,Is the novel coronavirus the deadliest virus known to man?,"While COVID-19 is more serious than the regular flu, the Ebola disease has higher mortality rates. The novel coronavirus is not the deadliest virus known to mankind."
Mental Health and Fitness,Ways to Remain Healthy During Social Distancing,"Create a Routine,Stay Connected,Learn Something New and Get Enough Sleep ."
Mental Health and Fitness,Ways to Remain Healthy During Lockdown,"Create a Routine,Stay Connected,Learn Something New and Get Enough Sleep ."
General,I am healthy and do not have any pre-existing diseases. Should I still maintain social distance?,"Yes. The infection spreads through droplets produced by an infected person and if you venture out and not maintain social distancing, then there are more chances of you getting infected by the virus."
Mental Health and Fitness,Tips to Reduce Stress During The COVID-19 Pandemic,"Follow Active Lifestyle,Avoid Fake News and Limit Media Coverage."
